BR,rho,rec_sp,don_sp,sensitivity
0.2,0.09,Cm,Cc,0.9490859323233294
0.2,0.09,Cm,Ac,0.9907975565984244
0.2,0.09,Cm,both,1.0252650819861067
0.2,0.09,Cm,Cc,0.9622640593707165
0.2,0.09,Cm,Ac,0.98643114642583
0.2,0.09,Cm,both,1.030822357247032
0.2,0.09,Cm,Cc,0.9368715263201819
0.2,0.09,Cm,Ac,0.97265381849737
0.2,0.09,Cm,both,0.9601393489486921
0.2,0.09,Cm,Cc,0.944817964615576
0.2,0.09,Cm,Ac,0.9849459007185999
0.2,0.09,Cm,both,1.000002514218706
0.2,0.09,Cm,Cc,0.9322945955010076
0.2,0.09,Cm,Ac,0.9734201473958045
0.2,0.09,Cm,both,0.9680468788086274
0.2,0.09,Cm,Cc,0.9463978709092745
0.2,0.09,Cm,Ac,0.9781142742469328
0.2,0.09,Cm,both,0.9855931723943162
0.2,0.09,Cm,Cc,0.9278456955177949
0.2,0.09,Cm,Ac,0.9760235247379757
0.2,0.09,Cm,both,0.973099517095457
0.2,0.09,Cm,Cc,0.9062911974139991
0.2,0.09,Cm,Ac,0.9901622714918294
0.2,0.09,Cm,both,0.9618044626432857
0.2,0.09,Cm,Cc,0.9006226784502329
0.2,0.09,Cm,Ac,0.9796839287444354
0.2,0.09,Cm,both,0.9244476716393855
0.2,0.09,Cm,Cc,0.9304834464412155
0.2,0.09,Cm,Ac,0.9726613938604829
0.2,0.09,Cm,both,0.9629498535402418
0.2,0.09,Cm,Cc,0.90993115064114
0.2,0.09,Cm,Ac,0.9690172751537338
0.2,0.09,Cm,both,0.9410664595541836
0.2,0.19,Cm,Cc,0.9591532019735272
0.2,0.19,Cm,Ac,0.9913414099542565
0.2,0.19,Cm,both,1.0101134239800291
0.2,0.19,Cm,Cc,0.9391386623359578
0.2,0.19,Cm,Ac,0.9726733228663561
0.2,0.19,Cm,both,0.9596310264821256
0.2,0.19,Cm,Cc,0.9270353633143279
0.2,0.19,Cm,Ac,0.9834818875571979
0.2,0.19,Cm,both,0.9602739257288458
0.2,0.19,Cm,Cc,0.9301804656743348
0.2,0.19,Cm,Ac,0.9704861662102569
0.2,0.19,Cm,both,0.9336277980447968
