a12,b12,x1,indirect,direct
-0.3,-0.75,0.5364080538150952,-1.2934736409211072e-36,-0.4771252835595712
-0.3,-0.75,0.747693746198639,-0.20025227068766444,-0.3698477836344948
-0.3,-0.75,0.4701628786230546,-5.614527211234799e-37,-0.5316717672030805
-0.3,-0.75,0.7872220230235114,-0.20029897811423586,-0.35852551098145835
-0.3,-0.75,0.35555444177910284,-0.336197506124098,-0.6529887723217441
-0.3,-0.75,0.7929401169984116,-0.22809578814653955,-0.358266083275642
-0.3,-0.75,0.4260381902650723,6.7243209101632045e-37,-0.571878008820624
-0.3,-0.75,0.6996225761149518,-0.24311619491414552,-0.39345462013500176
-0.3,-0.75,0.6368882619493322,-0.25606974021008017,-0.419424943195847
-0.3,-0.75,0.6088146372553748,-4.000472056698999e-37,-0.43823160566187364
-0.3,-0.75,0.8202142886115826,-0.16883356938665622,-0.3477022898417901
-0.3,-0.75,0.377419872620784,-0.5017965561673432,-0.6157627661372173
-0.3,-0.75,0.6581409790595809,-0.3120593250192356,-0.4128075079109057
-0.3,-0.75,0.7165566578032497,-0.14056293034212472,-0.38532862772243714
-0.3,-0.75,0.4961512666284444,-8.594088185931749e-37,-0.5094433901737925
-0.3,-0.75,0.8671292411835416,0.4099931933117555,-0.32866012292214997
-0.3,-0.75,0.23542676098489615,-0.7739896294188663,-0.8597841802029694
-0.3,-0.75,0.4908160310966684,-5.97611327343435e-37,-0.5118247647118641
-0.3,-0.75,0.7796530532917603,-0.31330579345110515,-0.3606060660138193
-0.3,-0.75,0.38838821126531436,-0.21684169671605652,-0.6157332392519865
-0.3,-0.75,0.8084065609571928,-0.29215026938494837,-0.35144041173036866
-0.3,-0.75,0.3797883259146892,-1.010667436429486,-0.618972215822438
-0.3,-0.75,0.6885678737670419,-0.2239844718626595,-0.3953988639025916
-0.3,-0.75,0.6112277982591994,-0.1822276515809275,-0.4345648520262158
-0.3,-0.75,0.662795222488545,-0.36299057687892183,-0.40883773564413894
-0.3,-0.75,0.6672370652266657,-0.2597587332624938,-0.4057561898636706
