BR,run,Weeks,rec_sp,don_sp,rho,mae,rmse,rec_dens,coef
0.2,8,13,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.29545454545454547,-1.1600980176098512
0.2,8,13,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.29545454545454547,-0.6432555635973495
0.2,8,14,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.3,-1.343588257937922
0.2,8,14,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.3,-0.593666771736043
0.2,8,15,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.03636363636363636,-1.254864963361254
0.2,8,15,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.03636363636363636,-0.6161770422907451
0.2,8,16,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-0.7580987030178177
0.2,8,16,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-0.581493533046065
0.2,8,17,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.2318181818181818,-0.6971119528530908
0.2,8,17,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.2318181818181818,-0.2590498910091564
0.2,8,18,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.19090909090909092,-1.4663625212096685
0.2,8,18,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.19090909090909092,-0.8401454147528065
0.2,8,19,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.18636363636363637,-1.007598648826154
0.2,8,19,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.18636363636363637,-0.6558248766552758
0.2,8,20,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.45454545454545453,-0.3662653192364645
0.2,8,20,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.45454545454545453,-0.423255876044886
0.2,8,21,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.35454545454545455,-0.7963891765890233
0.2,8,21,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.35454545454545455,-0.7189289042770252
0.2,8,22,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-1.040428395802794
0.2,8,22,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-0.6755004100354455
0.2,8,23,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.4318181818181818,-0.6836115474408043
0.2,8,23,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.4318181818181818,-0.5103473584193596
0.2,8,24,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.4954545454545455,-0.8356200510248768
0.2,8,24,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.4954545454545455,-0.5548900538669871
0.2,8,25,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5272727272727272,-0.6105107876727743
0.2,8,25,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5272727272727272,-0.3678082129138094
0.2,8,26,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.32727272727272727,-0.8929875614453529
0.2,8,26,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.32727272727272727,-0.6806897821403936
0.2,8,27,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5681818181818182,-0.5794815223055779
0.2,8,27,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5681818181818182,-0.4161400829332755
0.2,8,28,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5,NA
0.2,8,28,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.5,NA
0.2,8,29,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.2727272727272727,NA
0.2,8,29,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.2727272727272727,NA
0.2,8,30,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.3181818181818182,NA
0.2,8,30,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.3181818181818182,NA
0.2,8,31,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.44545454545454544,NA
0.2,8,31,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.44545454545454544,NA
0.2,9,1,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,9,1,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,9,2,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,9,2,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,9,3,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
