BR,run,Weeks,Cc,Cm,Ac
0,4,77,NA,NA,NA
0,4,78,NA,NA,NA
0,4,79,NA,NA,NA
0,4,80,NA,NA,NA
0,4,81,NA,NA,NA
0,4,82,NA,NA,NA
0,4,83,NA,NA,NA
0,4,84,NA,NA,NA
0,4,85,NA,NA,NA
0,4,86,NA,NA,NA
0,4,87,NA,NA,NA
0,4,88,NA,NA,NA
0,4,89,NA,NA,NA
0,4,90,NA,NA,NA
0,4,91,NA,NA,NA
0,4,92,NA,NA,NA
0,4,93,NA,NA,NA
0,4,94,NA,NA,NA
0,4,95,NA,NA,NA
0,4,96,NA,NA,NA
0,4,97,NA,NA,NA
0,4,98,NA,NA,NA
0,4,99,NA,NA,NA
0,4,100,NA,NA,NA
0,4,101,NA,NA,NA
0,5,1,20,19,NA
0,5,2,20,21,NA
0,5,3,23,22,NA
0,5,4,94,143,NA
0,5,5,91,179,0
0,5,6,73,153,9
0,5,7,127,58,48
0,5,8,9,85,74
0,5,9,6,24,130
0,5,10,3,47,140
0,5,11,3,33,112
0,5,12,15,61,22
0,5,13,2,78,130
0,5,14,0,93,107
0,5,15,8,61,172
0,5,16,4,71,118
0,5,17,0,51,139
0,5,18,2,41,203
0,5,19,5,53,140
0,5,20,0,55,142
0,5,21,NA,68,170
0,5,22,NA,78,135
0,5,23,NA,84,87
0,5,24,NA,NA,NA
0,5,25,NA,NA,NA
0,5,26,NA,NA,NA
0,5,27,NA,NA,NA
0,5,28,NA,NA,NA
0,5,29,NA,NA,NA
0,5,30,NA,NA,NA
0,5,31,NA,NA,NA
0,5,32,NA,NA,NA
0,5,33,NA,NA,NA
0,5,34,NA,NA,NA
0,5,35,NA,NA,NA
0,5,36,NA,NA,NA
0,5,37,NA,NA,NA
0,5,38,NA,NA,NA
0,5,39,NA,NA,NA
0,5,40,NA,NA,NA
0,5,41,NA,NA,NA
0,5,42,NA,NA,NA
0,5,43,NA,NA,NA
0,5,44,NA,NA,NA
0,5,45,NA,NA,NA
0,5,46,NA,NA,NA
0,5,47,NA,NA,NA
0,5,48,NA,NA,NA
0,5,49,NA,NA,NA
0,5,50,NA,NA,NA
0,5,51,NA,NA,NA
0,5,52,NA,NA,NA
