ref,tar,E,Tp,rho,mae,rmse,p_min,p_sur
Tridentiger_trigonocephalus,Rudarius_ercodes,9,0,0.051543347821733435,0.04268216240237786,0.10954044859093436,0.67,0.602
Tridentiger_trigonocephalus,Takifugu_poecilonotus,9,-3,0.17848549821444548,0.15891489306431794,0.20954366914199998,0.37,0.048
Tridentiger_trigonocephalus,Takifugu_poecilonotus,9,-2,0.22525571419690532,0.15453936956542766,0.20570910551737584,0.13,0.018
Tridentiger_trigonocephalus,Takifugu_poecilonotus,9,-1,0.16664004660392476,0.15621462844816827,0.2082490188920331,0.33,0.034
Tridentiger_trigonocephalus,Takifugu_poecilonotus,9,0,0.21380446011014997,0.15196097769766578,0.20547551772824924,0.12,0.016
Tridentiger_trigonocephalus,Acanthopagrus_schlegelii,9,-3,0.22061652999887904,0.08022295416637565,0.1274934853223563,0.05,0.405
Tridentiger_trigonocephalus,Acanthopagrus_schlegelii,9,-2,0.19545557664417448,0.08328372839885571,0.12898359153206465,0.16,0.511
Tridentiger_trigonocephalus,Acanthopagrus_schlegelii,9,-1,0.21486871399423452,0.08460381726411433,0.13098246406905803,0.38,0.661
Tridentiger_trigonocephalus,Acanthopagrus_schlegelii,9,0,0.3136848169413698,0.0843328390088659,0.12831233676036116,0.06,0.336
Tridentiger_trigonocephalus,Halichoeres_poecilopterus,9,-3,0.15424216421636355,0.13315675361500362,0.18896497526687953,0.59,0.744
Tridentiger_trigonocephalus,Halichoeres_poecilopterus,9,-2,0.1954665001308237,0.1387277318682812,0.18952810990981706,0.49,0.765
Tridentiger_trigonocephalus,Halichoeres_poecilopterus,9,-1,0.1967848016520838,0.14772911774946118,0.19576322310469135,0.53,0.888
Tridentiger_trigonocephalus,Halichoeres_poecilopterus,9,0,0.27458796467258445,0.1551410744783979,0.20506399378478773,0.5,0.794
Tridentiger_trigonocephalus,Takifugu_niphobles,9,-3,0.057142419968089046,0.1188605186846513,0.17558965063717458,0.5,0.116
Tridentiger_trigonocephalus,Takifugu_niphobles,9,-2,0.07414039242409956,0.11783331004601542,0.17480078143599334,0.61,0.109
Tridentiger_trigonocephalus,Takifugu_niphobles,9,-1,0.10782073258705864,0.11740390875678221,0.17279174843441095,0.41,0.078
Tridentiger_trigonocephalus,Takifugu_niphobles,9,0,0.058965928874420766,0.11831940172452597,0.17084821055077162,0.58,0.109
Tridentiger_trigonocephalus,Halichoeres_tenuispinnis,9,-3,0.31857621978717354,0.09670167951870134,0.15072806492290539,0,0.261
Tridentiger_trigonocephalus,Halichoeres_tenuispinnis,9,-2,0.2742205014741323,0.10463523816897526,0.15516306300088326,0.13,0.479
Tridentiger_trigonocephalus,Halichoeres_tenuispinnis,9,-1,0.20967655854264322,0.11140108398483459,0.1606386911209786,0.46,0.766
Tridentiger_trigonocephalus,Halichoeres_tenuispinnis,9,0,0.1721102211679585,0.11502079325689442,0.16394444184413987,0.67,0.86
Tridentiger_trigonocephalus,Girella_punctata,9,-3,0.3382901266447602,0.03896663841178417,0.06076738944607145,0,0.372
Tridentiger_trigonocephalus,Girella_punctata,9,-2,0.30093923991700766,0.041367202161231395,0.06200072177386963,0,0.526
Tridentiger_trigonocephalus,Girella_punctata,9,-1,0.08239506518054071,0.05620502647112534,0.10016992525731395,0.81,0.987
Tridentiger_trigonocephalus,Girella_punctata,9,0,0.10695086196001827,0.06015931857871691,0.10220776503400336,0.83,0.98
Tridentiger_trigonocephalus,Trachurus_japonicus,9,-3,0.2983175120648458,0.13992634483315688,0.19424105639844286,0,0.851
Tridentiger_trigonocephalus,Trachurus_japonicus,9,-2,0.25267335666390245,0.14182452260659936,0.1962846458800385,0,0.938
Tridentiger_trigonocephalus,Trachurus_japonicus,9,-1,0.2452279079008239,0.14185431896196732,0.18771559326636808,0,0.971
Tridentiger_trigonocephalus,Trachurus_japonicus,9,0,0.3050288106120358,0.1383585978064525,0.18052885989540926,0,0.902
Tridentiger_trigonocephalus,Pterogobius_zonoleucus,9,-3,-0.009643600634231265,0.03723192457756885,0.09731412930793626,0.81,0.648
Tridentiger_trigonocephalus,Pterogobius_zonoleucus,9,-2,-0.03931391647792794,0.04243247408543303,0.10242519188948314,0.81,0.734
Tridentiger_trigonocephalus,Pterogobius_zonoleucus,9,-1,-0.04976504147504547,0.04677252645855644,0.10566111804952567,0.74,0.74
Tridentiger_trigonocephalus,Pterogobius_zonoleucus,9,0,-2.567395072959052e-4,0.05046570933527643,0.10555693158901187,0.82,0.701
Tridentiger_trigonocephalus,Pseudoblennius_cottoidae,9,-3,0.3449282626142907,0.09584037629200044,0.1665414157591489,0,0.198
Tridentiger_trigonocephalus,Pseudoblennius_cottoidae,9,-2,0.30959758283247274,0.10085187840309998,0.16707236088156577,0,0.235
